speciesID,GenLength
41239,10.98
41239,8.65
30948,8.55
30948,8.45
1430,2.47
1430,2.49
1500,3.76
1500,3.03
45362,5
45362,4.61
31058,5.6
31058,5.33
1190,3.7
1190,3.04
590,4.2
590,3.54
30096,5.23
30096,4.07
6120,3.86
6120,3.24
31794,5.22
31794,4.94
31782,4.81
31782,4.53
6040,6.15
6040,4.53
41634,4.66
41634,4.6
31920,4.65
31920,4.7
31929,3.95
31929,4.01
31930,4.03
31930,4.01
31950,4.4
31950,4.45
31954,4.45
31954,4.6
32024,7.04
32024,6.99
31973,4
31973,4.02
31969,4.3
31969,4
25360,3.93
25360,4
48071,3.22
48071,3.29
33006,4.54
33006,4.75
45514,2.33
45514,2.19
33054,1.88
33054,2.19
40020,2.17
40020,2.05
48077,2.85
48077,2.78
33221,2.73
33221,2.57
9110,2.41
9110,2.29
8950,2.47
8950,2.3
33184,2.32
33184,2.3
32516,5
32516,5.13
32518,4.81
32518,5.13
43295,5.06
43295,5.05
32505,4.71
32505,4.29
7040,4.29
7040,4.28
7150,3.47
7150,2.79
45466,5.42
45466,5.57
32465,4
32465,4.03
31240,4.38
31240,4.74
45422,7.68
45422,7.34
31201,7.27
31201,7.34
32436,5.36
32436,5.24
1700,23.63
1700,22.03
40202,20.95
40202,19.07
1771,11.82
1771,12.68
1960,13.83
1960,13.95
2550,7.03
2550,6.8
2600,4.85
2600,4.97
31460,4.25
31460,7.89
31471,4.34
31471,4.25
31449,4.99
31449,4.62
31655,11.43
31655,8.65
5170,12.45
5170,10.32
42331,5.55
42331,3.74
7270,6.74
7270,4.83
48605,6.4
48605,5.45
48121,3.48
48121,3.14
45477,2.55
45477,2.67
32649,3.97
41676,3.97
46866,3.91
32649,3.21
41676,3.21
46866,3.21
48104,4.8
48104,5.47
30605,9.28
30605,9.32
33383,4.08
33383,4.02
9500,3.98
9500,4.08
33616,6.29
33616,7.19
33593,12.36
33593,16.05
33416,3.08
33416,2.98
33422,2.81
33422,2.88
33414,2.77
33414,2.88
33467,3.51
33467,3.79
33632,5.32
33632,4.11
9830,3.76
9830,3.41
33658,3.61
33658,3.56
33799,5.95
33799,6.62
33797,5.95
33797,5.73
46177,4.56
46177,4.4
33768,4.56
33768,4.4
33785,4.97
33785,4.73
45550,4.84
45550,4.97
33786,4.97
33786,4.67
33755,3.29
33755,3.22
45543,3.26
45543,3.39
33683,3.51
33683,3.57
33686,3.75
33686,3.57
33687,3.46
33687,3.51
33709,3.46
33709,3.36
33715,3.52
33715,3.91
45551,2.6
45551,2.55
34032,3.41
34032,3.29
10550,5.41
10550,5.34
34006,4.33
34006,4.28
48609,3.32
48609,3.76
34016,3.37
34016,3.06
10460,3.04
10460,3.27
33966,3.36
33966,3.04
33963,3.21
33963,3.04
33971,3.04
33971,3.94
33972,3.41
33972,3.04
10430,3.04
10430,3.13
33983,4.56
33983,4.3
10530,3.41
10530,3.3
33938,3.44
33938,3.02
33902,3.32
33902,3.52
33922,3.7
33922,2.88
30855,3.92
30855,4.35
6500,5.24
6500,5.93
32382,4.7
32382,4.68
6800,4.91
6800,4.7
32400,8.74
32400,11.86
32396,10.93
32396,8.74
32396,10.78
6920,8.74
6920,9.56
32364,4.75
32364,5.72
46226,3.28
46226,2.82
46226,3.42
46226,3.51
41647,2.82
41647,3.42
41648,3.42
41648,2.82
40113,3.42
40113,3.8
6580,2.99
6580,3.57
32271,5.28
32271,4.07
47345,5.17
47345,5.46
32179,3.44
32179,3.57
32136,4.58
32136,4.36
32135,3.38
32135,3.15
32185,4.76
32185,4.34
34068,5.32
34068,3.7
34046,3.99
34046,3.74
34468,2.31
34468,2.46
34509,3.03
34509,2.93
11170,3.14
11170,2.83
34395,3.01
34395,3.02
34408,3
34408,3.19
11270,3.85
11270,3.19
34320,3.23
34320,3.3
10880,3.99
10880,3.53
10870,3.47
10870,3.07
42407,3.71
42407,3.45
10910,4.18
10910,4.29
41834,3.59
41834,3.3
10970,3.41
10970,3.3
34376,3.36
34376,3.16
10780,2.09
