"aou","english","french","species","n_obs","n_birds","n_routes","n_years","model","vm","northern"
4451,"Thick-billed Kingbird","Tyran à bec épais","crassirostris",40,86,3,36,TRUE,1,NA
4510,"Sulphur-bellied Flycatcher","Tyran tigré","luteiventris",47,113,5,40,TRUE,2,FALSE
5700,"Yellow-eyed Junco","Junco aux yeux jaunes","phaeonotus",47,2066,6,35,TRUE,3,FALSE
3975,"Arizona Woodpecker","Pic d'Arizona","arizonae",81,157,6,46,TRUE,4,FALSE
4720,"Northern Beardless-Tyrannulet","Tyranneau imberbe","imberbe",115,209,8,43,TRUE,5,FALSE
150,"Rhinoceros Auklet","Macareux rhinocéros","monocerata",67,961,9,43,TRUE,6,FALSE
3140,"White-crowned Pigeon","Pigeon à couronne blanche","leucocephala",96,2695,9,55,TRUE,7,FALSE
4410,"Broad-billed Hummingbird","Colibri circé","latirostris",82,190,10,41,TRUE,8,FALSE
6960,"Eastern Yellow Wagtail","Bergeronnette de Béringie","tschutschensis",126,1432,10,31,TRUE,9,TRUE
4600,"Greater Pewee","Moucherolle de Coues","pertinax",62,153,11,39,TRUE,10,FALSE
730,"Aleutian Tern","Sterne des Aléoutiennes","aleuticus",86,1314,11,40,TRUE,1,TRUE
5790,"Rufous-winged Sparrow","Bruant à épaulettes","carpalis",89,548,12,35,TRUE,2,FALSE
6660,"Golden-cheeked Warbler","Paruline à dos noir","chrysoparia",77,329,13,39,TRUE,3,FALSE
1220,"Brandt's Cormorant","Cormoran de Brandt","penicillatus",113,1989,13,51,TRUE,4,FALSE
3460,"Gray Hawk","Buse grise","plagiatus",122,374,13,38,TRUE,5,FALSE
4790,"Florida Scrub-Jay","Geai à gorge blanche","coerulescens",188,906,13,56,TRUE,6,FALSE
4550,"Dusky-capped Flycatcher","Tyran olivâtre","tuberculifer",152,1516,14,52,TRUE,7,FALSE
670,"Sandwich Tern","Sterne caugek","sandvicensis",45,374,15,34,TRUE,8,FALSE
3824,"Monk Parakeet","Conure veuve","monachus",54,272,15,33,TRUE,9,FALSE
1920,"(Great White Heron) Great Blue Heron","Grand Héron (blanche)","herodias occidentalis",58,244,15,36,TRUE,10,FALSE
300,"Common Murre","Guillemot marmette","aalge",78,5268,15,40,TRUE,1,NA
6510,"Olive Warbler","Fauvine des pins","taeniatus",138,426,15,38,TRUE,2,FALSE
6230,"Black-whiskered Vireo","Viréo à moustaches","altiloquus",145,1514,15,55,TRUE,3,FALSE
4820,"Mexican Jay","Geai du Mexique","wollweberi",203,4609,15,53,TRUE,4,FALSE
5760,"Botteri's Sparrow","Bruant de Botteri","botterii",160,558,16,50,TRUE,5,FALSE
1280,"Magnificent Frigatebird","Frégate superbe","magnificens",90,486,17,50,TRUE,6,FALSE
6880,"Painted Redstart","Paruline à ailes blanches","pictus",181,850,17,50,TRUE,7,FALSE
2800,"Wilson's Plover","Pluvier de Wilson","wilsonia",69,128,18,42,TRUE,8,FALSE
6900,"Red-faced Warbler","Paruline à face rouge","rubrifrons",236,2081,18,53,TRUE,9,FALSE
1710,"Greater White-fronted Goose","Oie rieuse","albifrons",86,1830,19,32,TRUE,10,TRUE
2860,"American Oystercatcher","Huîtrier d'Amérique","palliatus",149,556,19,51,TRUE,1,FALSE
